Study_ID,ES_ID,Title,Year,Authors,Outcome_Name,Outcome_Dimension,Blooms_Level,n_Treatment,n_Control,M_Treatment,SD_Treatment,M_Control,SD_Control,Hedges_g,SE_g,Verification_Status,Verification_Confidence,Data_Tier
14,014_08,Enhancing self‐regulated learning and learning experience in generative AI environments: The critical role of metacognitive support,2025.0,Xiaoqing Xu; Lifang Qiao; Nuo Cheng; Hongxia Liu; Wei Zhao,cognitive load,cognitive,,35.0,33.0,,,,,,,OCR_VERIFIED,100.0,1
14,014_09,Enhancing self‐regulated learning and learning experience in generative AI environments: The critical role of metacognitive support,2025.0,Xiaoqing Xu; Lifang Qiao; Nuo Cheng; Hongxia Liu; Wei Zhao,technology acceptance - perceived usefulness,affective,,35.0,33.0,,,,,,,OCR_VERIFIED,100.0,1
14,014_10,Enhancing self‐regulated learning and learning experience in generative AI environments: The critical role of metacognitive support,2025.0,Xiaoqing Xu; Lifang Qiao; Nuo Cheng; Hongxia Liu; Wei Zhao,technology acceptance - perceived ease of use,affective,,35.0,33.0,,,,,,,OCR_VERIFIED,100.0,1
15,015_01,Examining the Usage of Generative AI Models in Student Learning Activities for Software Programming,2025.0,Rufeng Chen; Shuaishuai Jiang; Jiyun Shen; AJung Moon; Lili Wei,Task Performance - Passed Tests,cognitive,apply,6.0,6.0,410.7,,80.7,,,,OCR_VERIFIED,100.0,1
15,015_02,Examining the Usage of Generative AI Models in Student Learning Activities for Software Programming,2025.0,Rufeng Chen; Shuaishuai Jiang; Jiyun Shen; AJung Moon; Lili Wei,Task Performance - Passed Tests,cognitive,apply,6.0,6.0,291.0,,290.8,,,,OCR_VERIFIED,100.0,1
16,016_01,Exploring Implementations of GenAI in Teaching IS Subjects and Student Perceptions,2025.0,Yabing Jiang; Kazuo Nakatani,Database Report,cognitive,apply,30.0,38.0,7.33,1.25,7.3,0.77,0.0297,,MANUAL_VERIFIED,100.0,1
16,016_02,Exploring Implementations of GenAI in Teaching IS Subjects and Student Perceptions,2025.0,Yabing Jiang; Kazuo Nakatani,Database Exam,cognitive,understand,30.0,37.0,8.43,2.76,7.78,2.92,0.2273,,MANUAL_VERIFIED,100.0,1
16,016_03,Exploring Implementations of GenAI in Teaching IS Subjects and Student Perceptions,2025.0,Yabing Jiang; Kazuo Nakatani,Python Report,cognitive,apply,30.0,20.0,3.63,0.32,3.61,0.3,0.0689,,MANUAL_VERIFIED,100.0,1
16,016_04,Exploring Implementations of GenAI in Teaching IS Subjects and Student Perceptions,2025.0,Yabing Jiang; Kazuo Nakatani,Python Assignment1,cognitive,apply,35.0,21.0,1.85,0.23,1.67,0.28,0.71,,MANUAL_VERIFIED,100.0,1
16,016_05,Exploring Implementations of GenAI in Teaching IS Subjects and Student Perceptions,2025.0,Yabing Jiang; Kazuo Nakatani,Python Assignment2,cognitive,apply,29.0,20.0,1.86,0.27,1.6,0.48,0.6691,,MANUAL_VERIFIED,100.0,1
